Conc,Temp
0.24216,392.24
0.25505,391.63
0.26341,391.84
0.26153,391.78
0.26485,392.71
0.2559,393.1
0.25363,394.17
0.24269,394.24
0.24119,394.22
0.24069,393.95
0.24361,394.03
0.24086,393.02
0.24988,392.67
0.25437,392.73
0.2947,392.71
0.29403,390.93
0.3103,389.95
0.32506,390.4
0.3245,391.83
0.31266,395.03
0.27714,397.13
0.25505,398.26
0.24422,397.9
0.24693,396.2
0.2609,394.26
0.2793,393.3
0.28904,392.4
0.30002,392.65
0.2995,393.55
0.29083,394.6
0.28019,395.8
0.26785,396.24
0.263,396.11
0.2635,395.1
0.27289,394.73
0.2768,394.42
0.27981,394.12
0.28294,393.99
0.28452,394.03
0.28449,394.26
0.28281,394.93
0.27606,395.23
0.27251,394.93
0.27539,395.1
0.27369,394.85
0.27538,394.12
0.28314,394.36
0.28094,394.17
0.28203,393.59
0.28847,393.81
0.28743,394.55
0.27972,394.66
0.27858,395.19
0.27322,395.11
0.2736,395.12
0.27335,394.79
0.27702,395.23
0.27263,394.93
0.27492,394.56
0.27893,394.65
0.27818,394.66
0.27779,394.39
0.28041,394.27
0.28152,394.02
0.2847,394.52
0.2802,395.03
0.27442,394.43
0.28005,394.54
0.27916,394.44
0.28027,394.58
0.27921,394.86
0.27635,394.9
0.2758,394.94
0.27511,394.67
0.27749,394.39
0.28049,394.37
0.28047,393.96
0.28512,394.31
0.28188,394.51
0.27964,394.5
0.2797,394.56
0.27967,395.21
0.27312,395.29
0.2718,394.98
0.27468,394.93
0.27542,394.98
0.27437,394.19
0.28156,393.77
0.28648,393.82
0.28693,394.36
0.28179,394.79
0.27737,395.2
0.27281,394.85
0.27546,394.29
0.28207,394.95
0.27527,394.29
0.28229,395.08
0.27441,394.9
0.27553,394.75
0.27668,394.38
0.28008,393.98
0.28475,394.24
0.28235,394.29
0.282,394.6
0.27931,395.2
0.2733,395.43
0.27052,395.09
0.2731,394.48
0.27973,394.76
0.27687,394.35
0.2806,394.12
0.28298,394
0.28504,394.5
0.28018,394.72
0.27703,393.94
0.28546,394.55
