U1,U2,T(k-1),C(k-1)
0.9,13.5,393.23,0.24902
0.9,13.5,393.18,0.24949
0.9,13.5,393.15,0.24998
0.9,13.5,393.13,0.25035
0.9,13.5,393.15,0.25052
0.9,13.5,393.17,0.25047
0.9,13.5,393.2,0.25027
0.9,13.5,393.23,0.24999
0.9,13.5,393.25,0.24974
0.9,13.5,393.25,0.24957
0.9,13.5,393.24,0.24953
0.9,13.5,393.22,0.2496
0.9,13.5,393.2,0.24973
0.9,13.5,393.19,0.24989
0.9,13.5,393.18,0.25001
0.9,13.5,393.19,0.25008
0.9,13.5,393.19,0.25007
0.9,13.5,393.2,0.25002
0.9,13.5,393.21,0.24993
0.9,13.5,393.22,0.24985
0.9,13.5,393.22,0.24979
1.1,16.5,393.22,0.24977
1.1,16.5,393.21,0.24979
1.1,16.5,390.8,0.28385
1.1,16.5,389.95,0.31094
1.1,16.5,390.52,0.32544
1.1,16.5,392.27,0.32401
1.1,16.5,394.75,0.30676
1.1,16.5,397.12,0.27976
1.1,16.5,398.31,0.2552
1.1,16.5,397.81,0.24393
1.1,16.5,396.17,0.2477
1.1,16.5,394.34,0.26128
1.1,16.5,392.99,0.27797
1.1,16.5,392.39,0.29222
1.1,16.5,392.58,0.3002
1.1,16.5,393.41,0.30007
1.1,16.5,394.58,0.29238
1.1,16.5,395.67,0.28037
1.1,16.5,396.26,0.26908
1.1,16.5,396.15,0.26288
0.9,13.5,395.5,0.26328
0.9,13.5,394.65,0.26888
0.9,13.5,396.6,0.24193
0.9,13.5,397.07,0.22284
0.9,13.5,396.13,0.21697
0.9,13.5,394.52,0.22245
0.9,13.5,392.94,0.23431
0.9,13.5,391.82,0.24773
0.9,13.5,391.31,0.25904
0.9,13.5,391.39,0.2659
0.9,13.5,391.94,0.26726
0.9,13.5,392.76,0.26349
0.9,13.5,393.58,0.25635
0.9,13.5,394.16,0.24851
0.9,13.5,394.35,0.24256
0.9,13.5,394.15,0.23998
0.9,13.5,393.72,0.24083
0.9,13.5,393.23,0.2441
0.9,13.5,392.83,0.24835
0.9,13.5,392.62,0.25221
0.9,13.5,392.61,0.25469
0.9,13.5,392.77,0.25537
0.9,13.5,393.03,0.25436
0.9,13.5,393.29,0.25224
0.9,13.5,393.48,0.24983
0.9,13.5,393.56,0.24788
0.9,13.5,393.52,0.24689
0.9,13.5,393.39,0.24696
0.9,13.5,393.24,0.24785
0.9,13.5,393.11,0.24916
0.9,13.5,393.03,0.25042
0.9,13.5,393.02,0.25129
0.9,13.5,393.06,0.2516
0.9,13.5,393.14,0.25136
0.9,13.5,393.22,0.25074
0.9,13.5,393.28,0.24999
0.9,13.5,393.31,0.24935
0.9,13.5,393.31,0.24899
0.9,13.5,393.27,0.24895
0.9,13.5,393.23,0.24919
1.1,16.5,393.18,0.24958
1.1,16.5,393.15,0.24999
1.1,16.5,390.75,0.2843
1.1,16.5,389.91,0.3115
1.1,16.5,390.5,0.32595
1.1,16.5,392.27,0.32434
1.1,16.5,394.77,0.30678
1.1,16.5,397.17,0.27946
1.1,16.5,398.35,0.25474
1.1,16.5,397.82,0.24355
1.1,16.5,396.16,0.24754
1.1,16.5,394.32,0.26133
1.1,16.5,392.96,0.27817
1.1,16.5,392.37,0.29249
1.1,16.5,392.57,0.30045
1.1,16.5,393.41,0.30022
1.1,16.5,394.6,0.29238
1.1,16.5,395.69,0.28024
1.1,16.5,396.28,0.26888
1.1,16.5,396.16,0.2627
1.1,16.5,395.5,0.26319
1.1,16.5,394.64,0.26888
1.1,16.5,393.93,0.27687
1.1,16.5,393.57,0.28416
1.1,16.5,393.61,0.28851
1.1,16.5,393.99,0.28886
1.1,16.5,394.55,0.28549
1.1,16.5,395.07,0.27998
1.1,16.5,395.38,0.27458
1.1,16.5,395.37,0.27129
1.1,16.5,395.1,0.27098
1.1,16.5,394.7,0.2733
1.1,16.5,394.35,0.277
1.1,16.5,394.14,0.28061
1.1,16.5,394.13,0.28295
1.1,16.5,394.3,0.28337
1.1,16.5,394.56,0.28198
1.1,16.5,394.81,0.27948
1.1,16.5,394.97,0.27689
1.1,16.5,394.99,0.27517
0.9,13.5,394.88,0.2748
0.9,13.5,394.7,0.27571
0.9,13.5,397.23,0.2423
0.9,13.5,397.96,0.21784
0.9,13.5,396.86,0.21001
0.9,13.5,394.88,0.21638
0.9,13.5,392.95,0.23051
0.9,13.5,391.59,0.24654
0.9,13.5,390.95,0.2602
0.9,13.5,391.01,0.26873
0.9,13.5,391.64,0.2708
0.9,13.5,392.6,0.26668
0.9,13.5,393.6,0.25829
0.9,13.5,394.33,0.24878
0.9,13.5,394.58,0.24137
0.9,13.5,394.37,0.23802
0.9,13.5,393.85,0.23886
0.9,13.5,393.26,0.24269
0.9,13.5,392.78,0.24777
0.9,13.5,392.51,0.25244
1.1,16.5,392.49,0.25553
1.1,16.5,392.67,0.25648
1.1,16.5,390.57,0.28947
1.1,16.5,390,0.31435
1.1,16.5,390.8,0.32595
1.1,16.5,392.71,0.32146
1.1,16.5,395.22,0.30191
1.1,16.5,397.43,0.27464
1.1,16.5,398.3,0.2522
1.1,16.5,397.53,0.24395
1.1,16.5,395.81,0.24997
1.1,16.5,394.05,0.26446
1.1,16.5,392.84,0.28091
1.1,16.5,392.39,0.2941
1.1,16.5,392.71,0.30059
1.1,16.5,393.62,0.29894
1.1,16.5,394.81,0.29021
1.1,16.5,395.82,0.27807
1.1,16.5,396.27,0.26757
1.1,16.5,396.05,0.26263
0.9,13.5,395.34,0.26415
0.9,13.5,394.5,0.27034
0.9,13.5,396.51,0.24338
0.9,13.5,397.07,0.22371
0.9,13.5,396.2,0.2171
0.9,13.5,394.61,0.22203
0.9,13.5,393.02,0.23361
0.9,13.5,391.87,0.24699
0.9,13.5,391.33,0.25846
0.9,13.5,391.38,0.26559
0.9,13.5,391.91,0.26726
0.9,13.5,392.71,0.26376
0.9,13.5,393.54,0.25678
0.9,13.5,394.13,0.24894
0.9,13.5,394.34,0.24285
0.9,13.5,394.17,0.24007
0.9,13.5,393.74,0.24074
0.9,13.5,393.25,0.2439
0.9,13.5,392.85,0.24811
0.9,13.5,392.63,0.25201
1.1,16.5,392.61,0.25458
1.1,16.5,392.76,0.25536
1.1,16.5,390.61,0.28852
1.1,16.5,390,0.31377
1.1,16.5,390.76,0.32585
1.1,16.5,392.64,0.32188
1.1,16.5,395.14,0.30272
1.1,16.5,397.38,0.2755
1.1,16.5,398.3,0.2527
1.1,16.5,397.57,0.24395
1.1,16.5,395.87,0.24959
1.1,16.5,394.1,0.26393
1.1,16.5,392.86,0.28041
1.1,16.5,392.39,0.29378
1.1,16.5,392.69,0.30052
1.1,16.5,393.59,0.29912
1.1,16.5,394.77,0.29057
1.1,16.5,395.79,0.27845
1.1,16.5,396.27,0.26782
1.1,16.5,396.06,0.26267
0.9,13.5,395.36,0.264
0.9,13.5,394.53,0.2701
0.9,13.5,396.53,0.24314
0.9,13.5,397.07,0.22356
0.9,13.5,396.19,0.21708
0.9,13.5,394.59,0.2221
0.9,13.5,393.01,0.23373
0.9,13.5,391.86,0.24711
0.9,13.5,391.32,0.25856
0.9,13.5,391.38,0.26564
0.9,13.5,391.91,0.26726
0.9,13.5,392.72,0.26371
0.9,13.5,393.55,0.25671
0.9,13.5,394.14,0.24887
0.9,13.5,394.35,0.2428
0.9,13.5,394.17,0.24005
0.9,13.5,393.74,0.24076
0.9,13.5,393.25,0.24393
0.9,13.5,392.85,0.24815
0.9,13.5,392.63,0.25204
0.9,13.5,392.61,0.2546
0.9,13.5,392.76,0.25536
0.9,13.5,393.02,0.25443
0.9,13.5,393.28,0.25235
0.9,13.5,393.47,0.24994
0.9,13.5,393.55,0.24796
0.9,13.5,393.52,0.24692
0.9,13.5,393.4,0.24694
0.9,13.5,393.25,0.2478
0.9,13.5,393.11,0.24909
0.9,13.5,393.03,0.25036
0.9,13.5,393.02,0.25126
0.9,13.5,393.06,0.25159
0.9,13.5,393.13,0.25138
0.9,13.5,393.22,0.25077
0.9,13.5,393.28,0.25002
0.9,13.5,393.31,0.24938
0.9,13.5,393.31,0.249
0.9,13.5,393.27,0.24895
0.9,13.5,393.23,0.24918
0.9,13.5,393.18,0.24956
0.9,13.5,393.16,0.24997
0.9,13.5,393.15,0.25028
0.9,13.5,393.16,0.25041
0.9,13.5,393.18,0.25037
0.9,13.5,393.21,0.2502
0.9,13.5,393.23,0.24997
0.9,13.5,393.24,0.24976
0.9,13.5,393.24,0.24962
0.9,13.5,393.23,0.24959
0.9,13.5,393.22,0.24965
0.9,13.5,393.2,0.24976
0.9,13.5,393.19,0.24989
0.9,13.5,393.19,0.24999
0.9,13.5,393.19,0.25005
0.9,13.5,393.2,0.25004
0.9,13.5,393.21,0.24999
0.9,13.5,393.21,0.24992
0.9,13.5,393.22,0.24986
0.9,13.5,393.22,0.24981
1.1,16.5,393.21,0.24979
1.1,16.5,393.21,0.24981
1.1,16.5,390.8,0.28386
1.1,16.5,389.95,0.31094
1.1,16.5,390.52,0.32544
1.1,16.5,392.27,0.324
1.1,16.5,394.75,0.30675
1.1,16.5,397.12,0.27975
1.1,16.5,398.31,0.2552
1.1,16.5,397.8,0.24393
1.1,16.5,396.17,0.24771
1.1,16.5,394.34,0.26129
1.1,16.5,392.99,0.27798
1.1,16.5,392.39,0.29222
1.1,16.5,392.58,0.3002
1.1,16.5,393.41,0.30006
1.1,16.5,394.58,0.29237
1.1,16.5,395.67,0.28037
1.1,16.5,396.26,0.26908
1.1,16.5,396.15,0.26288
0.9,13.5,395.5,0.26329
0.9,13.5,394.65,0.26888
0.9,13.5,396.6,0.24193
0.9,13.5,397.07,0.22284
0.9,13.5,396.13,0.21697
0.9,13.5,394.52,0.22245
0.9,13.5,392.94,0.23431
0.9,13.5,391.82,0.24772
0.9,13.5,391.31,0.25904
0.9,13.5,391.39,0.2659
0.9,13.5,391.94,0.26726
0.9,13.5,392.76,0.26349
0.9,13.5,393.58,0.25635
0.9,13.5,394.16,0.24851
0.9,13.5,394.35,0.24256
0.9,13.5,394.15,0.23998
0.9,13.5,393.72,0.24083
0.9,13.5,393.23,0.2441
0.9,13.5,392.83,0.24835
0.9,13.5,392.62,0.25221
0.9,13.5,392.61,0.25469
0.9,13.5,392.77,0.25537
0.9,13.5,393.03,0.25436
0.9,13.5,393.29,0.25224
0.9,13.5,393.48,0.24983
0.9,13.5,393.56,0.24788
0.9,13.5,393.52,0.24689
0.9,13.5,393.39,0.24696
0.9,13.5,393.24,0.24785
0.9,13.5,393.11,0.24916
0.9,13.5,393.03,0.25042
0.9,13.5,393.02,0.25129
0.9,13.5,393.06,0.2516
0.9,13.5,393.14,0.25136
0.9,13.5,393.22,0.25074
0.9,13.5,393.28,0.24999
0.9,13.5,393.31,0.24935
0.9,13.5,393.31,0.24899
0.9,13.5,393.27,0.24895
0.9,13.5,393.23,0.24919
0.9,13.5,393.18,0.24958
0.9,13.5,393.15,0.24999
0.9,13.5,393.15,0.25029
0.9,13.5,393.16,0.25042
0.9,13.5,393.18,0.25037
0.9,13.5,393.21,0.25019
0.9,13.5,393.23,0.24996
0.9,13.5,393.24,0.24975
0.9,13.5,393.24,0.24962
0.9,13.5,393.23,0.24959
0.9,13.5,393.22,0.24965
0.9,13.5,393.2,0.24977
0.9,13.5,393.19,0.2499
0.9,13.5,393.19,0.25
0.9,13.5,393.19,0.25005
0.9,13.5,393.2,0.25004
0.9,13.5,393.21,0.24999
0.9,13.5,393.21,0.24992
0.9,13.5,393.22,0.24985
0.9,13.5,393.22,0.24981
