C,T
0.25043,392.99
0.25157,392.97
0.25201,393.02
0.25176,393.11
0.25102,393.22
0.25009,393.3
0.24927,393.34
0.24879,393.33
0.24871,393.29
0.24899,393.24
0.24947,393.18
0.24998,393.14
0.25036,393.13
0.25054,393.14
0.2505,393.17
0.25028,393.2
0.25,393.23
0.24973,393.25
0.24956,393.25
0.24952,393.24
0.24958,393.22
0.24973,393.2
0.24989,393.19
0.25002,393.18
0.25008,393.19
0.25008,393.19
0.25002,393.2
0.24994,393.21
0.24985,393.22
0.24979,393.22
0.24977,393.22
0.24979,393.21
0.24983,393.21
0.24988,393.2
0.24992,393.2
0.24994,393.2
0.24995,393.2
0.24993,393.21
0.24991,393.21
0.24988,393.21
0.24986,393.21
0.24985,393.21
0.24985,393.21
0.24986,393.21
0.24988,393.21
0.24989,393.2
0.2499,393.2
0.2499,393.21
0.2499,393.21
0.24989,393.21
0.24988,393.21
0.24988,393.21
0.28389,390.81
0.31094,389.96
0.3254,390.53
0.32394,392.27
0.30668,394.75
0.27971,397.12
0.2552,398.3
0.24396,397.8
0.24775,396.16
0.26133,394.34
0.278,392.99
0.29223,392.39
0.30018,392.58
0.30003,393.41
0.29234,394.59
0.28035,395.67
0.26908,396.26
0.26289,396.15
0.26331,395.5
0.2689,394.65
0.24195,396.6
0.22284,397.07
0.21696,396.14
0.22244,394.52
0.2343,392.94
0.24772,391.82
0.25904,391.31
0.2659,391.39
0.26726,391.94
0.26349,392.76
0.25636,393.58
0.24852,394.16
0.24256,394.35
0.23998,394.15
0.24083,393.72
0.2441,393.23
0.24835,392.83
0.2522,392.62
0.25469,392.61
0.25537,392.77
0.28844,390.63
0.31364,390.01
0.32571,390.77
0.32176,392.64
0.30267,395.14
0.27554,397.37
0.2528,398.29
0.24406,397.57
0.24966,395.87
0.26395,394.1
0.28039,392.87
0.29372,392.4
0.30045,392.69
0.29907,393.59
0.29055,394.77
0.27847,395.79
0.26786,396.27
0.26272,396.06
0.26404,395.36
0.27011,394.53
0.278,393.87
0.28484,393.57
0.28859,393.67
0.28836,394.07
0.28465,394.63
0.27914,395.12
0.27405,395.38
0.27122,395.33
0.27133,395.04
0.27386,394.65
0.27756,394.32
0.28098,394.14
0.28302,394.16
0.28317,394.34
0.2816,394.59
0.27908,394.83
0.27662,394.97
0.2751,394.97
0.27493,394.85
0.27597,394.67
0.24257,397.22
0.218,397.96
0.21004,396.87
0.21631,394.89
0.23038,392.97
0.24641,391.6
0.26009,390.96
0.26867,391.01
0.2708,391.64
0.26673,392.59
0.25836,393.59
0.24885,394.32
0.24143,394.58
0.23804,394.37
0.23885,393.86
0.24266,393.26
0.24772,392.78
0.2524,392.51
0.25551,392.49
0.25647,392.67
0.28948,390.57
0.31438,390
0.32598,390.8
0.32148,392.71
0.30192,395.22
0.27463,397.43
0.25218,398.3
0.24393,397.53
0.24996,395.81
0.26446,394.05
0.28091,392.83
0.29411,392.39
0.3006,392.71
0.29895,393.62
0.29021,394.81
