C,T
2.692095E-01,3.964132E+02
2.627686E-01,3.964783E+02
2.609111E-01,3.959718E+02
2.654843E-01,3.951668E+02
2.730692E-01,3.944546E+02
2.796111E-01,3.940272E+02
2.837896E-01,3.939007E+02
2.853568E-01,3.94026E+02
2.831656E-01,3.94227E+02
2.831715E-01,3.944856E+02
2.801967E-01,3.948001E+02
2.769704E-01,3.950047E+02
2.754472E-01,3.950869E+02
2.733516E-01,3.949939E+02
2.733666E-01,3.946653E+02
2.7787E-01,3.943362E+02
2.828531E-01,3.943305E+02
2.820832E-01,3.945974E+02
2.798643E-01,3.949305E+02
2.761155E-01,3.951871E+02
2.742086E-01,3.953094E+02
2.717906E-01,3.952443E+02
2.713211E-01,3.949091E+02
2.749602E-01,3.944746E+02
2.44172E-01,3.968473E+02
2.210652E-01,3.975897E+02
2.130914E-01,3.966545E+02
2.180523E-01,3.94848E+02
2.314239E-01,3.930531E+02
2.468056E-01,3.918034E+02
2.594257E-01,3.912608E+02
2.667839E-01,3.913806E+02
2.684095E-01,3.920359E+02
2.631215E-01,3.929666E+02
2.547855E-01,3.938389E+02
2.458902E-01,3.943631E+02
2.407918E-01,3.944342E+02
2.388914E-01,3.941282E+02
2.412756E-01,3.936389E+02
2.445528E-01,3.931439E+02
2.499472E-01,3.928103E+02
2.521079E-01,3.926656E+02
2.538046E-01,3.926347E+02
2.55234E-01,3.927557E+02
2.86521E-01,3.904949E+02
3.132837E-01,3.896858E+02
3.271118E-01,3.902465E+02
3.273742E-01,3.920102E+02
3.082269E-01,3.945033E+02
2.824968E-01,3.968884E+02
2.568449E-01,3.981485E+02
2.457762E-01,3.977652E+02
2.492512E-01,3.963571E+02
2.596241E-01,3.946768E+02
2.758453E-01,3.933525E+02
2.881878E-01,3.926856E+02
2.971816E-01,3.92717E+02
2.980737E-01,3.933691E+02
2.922438E-01,3.943552E+02
2.832179E-01,3.953856E+02
2.728814E-01,3.96153E+02
2.632047E-01,3.962408E+02
2.623824E-01,3.956342E+02
2.681843E-01,3.948045E+02
2.403265E-01,3.967446E+02
2.214532E-01,3.971233E+02
2.162509E-01,3.960781E+02
2.229831E-01,3.944138E+02
2.339756E-01,3.927846E+02
2.489146E-01,3.916248E+02
2.605102E-01,3.911351E+02
2.660307E-01,3.911893E+02
2.68817E-01,3.916951E+02
2.668033E-01,3.925984E+02
2.591831E-01,3.936547E+02
2.486717E-01,3.94476E+02
2.405187E-01,3.947931E+02
2.369459E-01,3.946175E+02
2.369373E-01,3.940919E+02
2.41146E-01,3.934576E+02
2.459439E-01,3.929157E+02
2.503516E-01,3.925277E+02
2.548982E-01,3.923722E+02
2.579551E-01,3.925233E+02
2.913002E-01,3.90505E+02
3.141031E-01,3.899628E+02
3.254046E-01,3.906915E+02
3.240073E-01,3.926057E+02
3.022853E-01,3.951885E+02
2.751745E-01,3.974262E+02
2.524888E-01,3.98363E+02
2.44223E-01,3.97718E+02
2.484914E-01,3.960837E+02
2.612557E-01,3.942366E+02
2.795095E-01,3.928917E+02
2.928167E-01,3.923382E+02
3.013591E-01,3.925846E+02
2.991502E-01,3.934319E+02
2.924649E-01,3.945739E+02
2.797863E-01,3.956138E+02
2.683262E-01,3.96023E+02
2.644905E-01,3.95728E+02
2.666676E-01,3.950234E+02
2.744293E-01,3.943509E+02
2.451285E-01,3.966198E+02
2.223663E-01,3.973105E+02
2.15104E-01,3.963929E+02
2.199023E-01,3.946621E+02
2.327896E-01,3.929409E+02
2.473453E-01,3.917258E+02
2.590088E-01,3.911427E+02
2.665841E-01,3.911578E+02
2.699806E-01,3.917319E+02
2.658929E-01,3.926735E+02
2.586924E-01,3.93709E+02
2.480759E-01,3.945072E+02
2.400106E-01,3.947785E+02
2.370312E-01,3.945659E+02
2.379673E-01,3.940737E+02
2.393962E-01,3.933789E+02
2.469541E-01,3.92749E+02
2.526066E-01,3.924325E+02
2.565149E-01,3.924224E+02
2.564926E-01,3.926114E+02
2.564258E-01,3.929313E+02
2.529352E-01,3.932776E+02
2.49277E-01,3.934648E+02
2.474497E-01,3.934713E+02
2.474381E-01,3.93378E+02
2.487124E-01,3.932939E+02
2.490111E-01,3.932387E+02
2.49225E-01,3.931733E+02
2.501078E-01,3.931257E+02
2.514787E-01,3.931748E+02
2.510193E-01,3.933089E+02
2.494653E-01,3.93422E+02
2.478346E-01,3.934312E+02
2.481121E-01,3.933715E+02
2.4922E-01,3.933514E+02
2.494041E-01,3.933902E+02
