T1(k+1),T2(k+1)
58.655,59.83
58.716,60.927
58.638,60.627
58.457,59.595
58.326,59.181
58.418,60.561
58.45,61.079
58.513,61.689
58.409,60.844
58.275,59.986
58.195,59.755
58.189,60.123
58.216,60.628
58.18,60.496
58.321,61.468
58.345,61.297
58.322,60.827
58.299,60.502
58.798,60.804
59.463,62.537
59.933,62.547
60.218,61.375
60.536,60.978
60.924,61.407
61.198,61.021
61.542,61.43
61.772,61.018
61.982,60.706
62.346,61.761
62.562,61.551
62.709,60.987
62.986,61.667
63.319,62.695
63.604,63.199
63.654,61.909
63.798,61.771
63.857,61.103
63.902,60.57
64.332,60.511
64.981,62.36
65.469,62.725
65.769,61.809
66.172,62.12
66.454,61.621
66.812,62.007
67.157,62.358
67.456,62.428
67.705,62.256
68.113,63.468
68.409,63.665
68.623,63.044
68.768,62.217
69.026,62.573
69.541,64.896
69.88,65.422
70.193,65.751
70.306,64.641
70.343,63.372
70.481,63.292
70.862,65.15
71.148,65.889
71.225,64.963
71.438,65.698
71.573,65.713
71.726,65.938
71.923,66.494
72.01,66.155
72.171,66.523
72.222,66.036
72.361,66.393
72.453,66.352
72.504,66.07
72.734,67.254
72.827,67.14
72.51,66.929
72.405,68.22
72.232,68.511
71.965,67.902
71.903,68.905
71.796,69.196
71.757,69.85
71.625,69.555
71.573,69.896
71.424,69.353
71.374,69.674
71.529,71.409
71.514,71.066
71.457,70.516
71.322,69.524
71.396,70.385
71.352,70.096
71.27,69.592
71.341,70.38
71.295,70.044
71.402,70.966
71.332,70.286
71.206,69.375
71.257,70.047
71.176,69.523
71.256,70.349
71.221,70.06
71.29,70.647
71.261,70.33
71.264,70.342
71.155,69.505
71.162,69.775
71.114,69.534
71.036,69.124
70.97,68.902
70.844,68.263
70.864,68.878
70.869,69.181
70.969,70.111
70.882,69.359
70.736,68.374
70.587,67.605
70.648,68.618
70.671,69.029
70.569,68.37
70.554,68.534
70.464,68.074
70.35,67.528
70.266,67.329
70.415,68.933
70.49,69.511
70.436,68.961
70.315,68.051
70.172,67.215
70.137,67.404
70.187,68.151
70.196,68.369
70.332,69.484
70.526,70.738
70.465,69.737
70.559,67.575
70.814,67.41
71.239,68.729
71.557,69.02
71.932,69.815
72.048,68.592
72.134,67.614
72.43,68.593
72.688,69.117
72.811,68.589
72.906,68.092
72.978,67.631
72.915,68.97
72.837,69.715
72.623,69.145
72.571,69.877
72.46,69.885
72.292,69.395
72.257,69.992
72.103,69.466
71.934,68.92
71.757,68.409
71.67,68.655
71.784,70.298
71.747,70.588
71.731,70.916
71.561,69.962
71.48,69.907
71.487,70.504
71.381,70.037
71.165,68.837
71.009,68.382
71.141,70.19
71.325,71.843
71.44,72.518
71.331,71.317
71.258,70.462
71.159,69.655
71.114,69.479
71.325,71.283
71.416,71.677
71.447,71.529
71.341,70.412
71.169,69.11
71.248,70.067
71.333,70.787
71.306,70.457
71.391,71.076
71.769,70.826
72.056,70.177
72.51,71.161
72.791,70.755
73.137,71.126
73.273,69.979
73.419,69.361
73.777,70.628
73.976,70.466
74.04,69.454
74.078,68.614
74.127,68.16
73.846,68.3
73.63,68.732
73.385,68.686
73.117,68.346
72.813,67.702
72.772,69.1
72.655,69.432
72.572,69.855
72.528,70.379
72.328,69.519
72.017,67.998
71.75,67.153
71.608,67.394
71.607,68.551
71.718,70.182
71.638,69.86
71.406,68.447
71.214,67.693
71.042,67.236
70.979,67.674
70.978,68.397
71.103,69.842
71.02,69.286
70.794,67.78
71.205,68.859
71.543,69.244
71.915,69.937
72.111,69.263
72.159,67.806
72.259,67.252
72.558,68.435
72.975,70.281
73.181,70.146
73.39,70.183
73.361,68.537
73.508,68.741
73.841,70.076
74.071,70.371
74.175,69.741
74.175,68.595
74.285,68.657
74.493,69.498
74.711,70.246
74.911,70.732
75.048,70.68
75.128,70.301
75.147,69.627
75.363,70.672
75.087,70.687
74.878,71.045
74.507,69.951
74.232,69.741
74.02,69.933
73.942,70.964
73.89,71.799
73.64,70.816
73.483,70.743
73.19,69.568
73.067,69.932
72.932,70.009
73.303,70.903
73.488,70.28
73.696,70.152
73.801,69.393
73.929,69.124
74.013,68.68
74.334,70.221
74.587,70.908
74.661,70.15
74.781,70.036
74.816,69.382
74.787,68.491
74.59,69.512
74.335,69.65
74.011,69.083
73.865,69.873
73.621,69.58
73.36,69.12
73.127,68.886
73.13,70.397
72.975,70.2
72.735,69.34
72.592,69.375
72.351,68.572
72.534,68.49
72.788,69.078
73.006,69.333
73.352,70.593
73.51,70.185
73.763,70.719
73.913,70.436
73.994,69.808
74.213,70.476
74.356,70.468
74.428,70.007
74.526,69.935
74.65,69.848
74.754,69.706
74.9,69.987
75.2,71.413
75.364,71.498
75.438,70.963
75.479,70.403
75.592,70.598
75.896,72.227
76.032,72.206
76.152,72.142
76.121,71.034
76.057,70.037
76.25,71.275
76.377,71.698
76.445,71.607
76.655,72.654
76.708,72.28
76.648,71.217
76.73,71.539
76.724,71.146
76.723,70.912
76.702,70.606
76.692,70.478
76.894,71.985
76.96,72.069
77.077,72.541
77.006,71.508
76.954,70.928
77.072,71.795
77.078,71.586
76.997,70.799
76.912,70.202
76.836,69.823
76.992,71.292
77.085,71.866
77.059,71.404
77.108,71.644
77.062,71.121
77.12,71.53
77.095,71.206
77.164,71.688
77.087,70.942
76.992,70.268
76.946,70.143
76.96,70.484
76.996,70.889
77.014,71.038
76.62,71.227
76.168,70.696
75.759,70.421
75.603,71.94
75.353,72.131
75.131,72.339
74.776,71.338
74.438,70.61
74.233,70.96
74.167,72.137
74.024,72.293
73.932,72.701
74.228,72.65
74.544,72.932
74.758,72.523
74.824,71.24
75.155,72.445
75.483,73.386
75.76,73.805
75.901,73.206
76.113,73.424
76.136,72.265
76.331,72.803
76.495,73.034
76.802,74.639
76.905,74.325
76.985,74.005
76.887,72.5
76.91,72.371
76.922,72.209
77.128,73.564
