Y1(C),Y2(C)
44.819,44.33
44.819,43.842
45.797,44.819
45.308,43.353
45.797,44.819
45.308,43.353
45.797,43.842
45.308,43.842
45.308,43.842
45.308,43.842
44.819,43.842
45.308,43.842
45.308,43.842
44.819,43.842
45.308,45.797
45.308,44.33
44.33,44.819
44.819,45.797
44.33,44.819
44.33,45.308
44.819,44.819
44.33,45.308
44.33,46.285
44.33,44.819
44.33,46.285
43.842,45.308
43.842,45.308
44.819,46.285
44.33,45.797
44.33,45.797
45.308,45.308
44.819,45.797
45.308,45.797
45.797,45.797
45.308,46.774
45.308,45.797
45.308,45.797
45.797,45.797
45.797,45.797
46.285,45.797
46.285,46.774
45.797,45.797
45.797,45.797
45.797,47.263
46.285,45.797
46.285,45.797
46.285,46.285
46.285,45.797
46.774,45.797
46.774,45.797
46.774,46.285
46.774,46.285
47.263,46.285
47.263,46.285
47.752,47.752
47.263,46.774
47.263,46.774
47.263,46.774
47.752,47.263
47.752,47.752
47.263,47.263
47.263,47.752
47.752,47.752
47.752,47.752
47.752,48.24
47.263,48.729
47.752,49.707
48.24,48.729
48.24,50.684
47.752,48.729
47.752,50.196
47.752,49.218
48.24,49.218
47.752,49.218
48.729,49.707
48.24,49.707
48.729,49.707
48.729,49.707
49.218,51.173
49.707,51.173
49.218,50.196
49.707,52.151
49.707,50.684
50.684,50.684
50.684,50.684
50.684,51.173
51.173,52.151
51.173,51.662
52.151,53.128
52.151,51.662
52.151,52.151
53.617,52.639
54.106,54.106
54.594,52.639
54.594,53.128
55.083,53.617
54.594,53.617
55.083,53.617
56.549,53.617
55.572,53.617
56.549,53.617
56.549,53.617
57.527,55.572
57.038,53.617
57.527,56.061
57.038,55.083
57.527,53.617
57.038,55.083
57.527,54.106
57.527,55.572
57.527,54.106
58.016,55.572
58.504,55.572
58.016,54.594
59.482,54.106
58.993,55.083
58.993,57.038
59.482,54.594
59.971,56.549
58.993,55.083
58.993,55.083
58.993,54.594
58.504,55.083
58.504,56.061
58.504,54.594
58.993,56.549
58.016,55.083
58.016,55.083
58.016,55.083
58.993,57.038
58.016,56.061
58.016,57.527
58.016,55.572
58.016,55.572
57.527,56.061
57.038,56.061
58.016,57.527
57.527,58.016
57.038,56.061
57.038,58.016
57.038,56.549
56.549,56.549
57.038,58.504
57.038,57.038
56.549,57.527
57.038,57.527
57.038,58.016
57.527,59.482
57.038,58.016
57.527,58.993
57.038,58.504
57.527,59.971
57.038,58.016
57.527,58.504
56.549,58.504
56.549,59.971
57.038,58.504
58.016,60.459
57.038,58.993
57.038,58.993
57.038,58.993
57.038,58.993
57.038,59.482
58.016,60.948
57.038,59.482
57.038,60.459
57.038,59.482
57.038,60.459
56.549,59.971
57.038,60.948
56.549,59.482
56.549,59.971
57.038,60.948
56.549,59.482
57.038,60.948
57.527,59.971
57.038,61.926
57.038,59.971
57.038,61.437
57.527,59.971
57.527,60.459
57.527,61.926
57.527,59.971
58.016,60.459
58.504,61.437
58.993,60.459
58.993,60.459
59.482,61.926
58.504,60.459
58.993,59.971
58.504,60.459
58.504,59.971
58.993,59.482
58.504,59.971
58.993,59.971
58.504,59.971
58.993,60.948
58.993,60.948
58.504,59.482
58.504,59.971
58.016,59.482
58.504,60.948
58.016,59.971
58.016,59.482
58.504,60.459
58.504,59.971
58.504,59.482
58.993,60.948
59.482,59.971
58.993,59.971
59.482,61.437
58.504,59.482
58.993,61.926
58.016,59.971
58.504,59.482
58.016,61.926
58.016,61.926
58.016,61.437
58.016,59.482
58.016,61.926
57.527,60.459
58.016,61.437
58.016,60.459
58.504,62.414
58.016,60.459
57.527,59.971
58.504,62.414
58.504,60.459
58.993,61.926
58.993,60.948
58.993,60.948
59.482,61.926
59.482,60.948
59.482,62.414
59.482,60.948
59.971,62.414
59.482,60.459
59.971,62.414
59.482,60.459
59.971,61.926
59.482,60.459
59.971,60.459
58.993,60.459
59.482,59.971
59.971,59.971
59.971,59.971
59.971,59.482
59.971,61.437
59.971,59.971
59.971,59.971
59.971,60.459
59.482,59.971
59.971,61.437
59.482,59.971
59.482,61.926
58.993,59.971
58.993,59.971
59.482,61.437
58.993,60.459
58.993,59.971
59.482,60.459
59.971,61.926
59.482,60.459
60.459,60.948
60.459,62.414
59.971,60.459
60.459,60.948
60.459,62.414
60.459,60.948
60.948,62.414
60.459,60.459
59.971,61.926
60.459,60.459
59.971,59.971
59.971,59.971
59.971,61.926
59.482,59.971
59.482,59.482
59.482,61.926
58.993,59.482
59.482,60.948
59.482,59.482
59.482,60.948
58.993,59.482
59.971,60.948
59.482,59.971
59.482,59.482
59.971,60.948
59.971,59.482
59.482,59.971
59.971,61.437
58.993,59.482
58.993,59.482
58.993,59.971
59.482,61.437
58.504,59.971
58.993,61.437
58.993,59.971
58.504,60.459
58.504,60.459
58.504,60.459
58.504,60.459
59.482,59.971
59.482,62.414
58.993,60.459
58.504,60.948
58.993,60.948
58.504,60.948
58.993,62.903
58.993,60.948
58.504,60.948
58.504,61.926
58.993,61.926
58.993,60.459
59.971,61.926
59.971,60.459
59.971,60.948
59.971,62.414
59.971,60.459
60.459,60.948
60.948,62.414
60.948,62.414
61.437,62.414
61.926,60.948
62.414,62.903
61.437,60.948
61.926,60.948
61.437,60.459
62.414,62.903
62.414,60.948
62.903,60.948
63.881,62.903
63.392,60.948
63.881,62.414
63.881,61.926
63.392,61.926
64.37,61.926
64.858,63.881
64.858,62.414
64.858,62.903
65.836,62.414
66.325,63.392
66.325,65.347
66.813,63.392
67.302,65.347
67.791,63.881
68.28,63.881
68.28,64.37
68.768,65.836
68.28,64.37
68.768,63.881
69.746,66.325
69.257,64.858
70.235,65.836
70.723,66.325
70.235,65.347
71.212,66.813
71.212,65.347
71.212,66.813
71.701,65.836
71.701,65.836
72.19,67.791
72.19,65.836
72.678,66.813
72.678,68.768
73.167,67.302
73.656,67.302
74.145,69.746
73.167,68.28
74.145,69.746
74.633,68.768
74.145,70.235
73.656,68.768
74.633,70.235
74.633,71.701
74.145,69.746
74.145,70.723
73.656,69.746
74.145,71.701
73.167,69.257
73.167,69.746
72.678,71.212
72.678,69.257
73.167,71.701
73.656,69.257
72.678,69.746
73.167,71.212
73.167,68.768
72.678,71.212
73.167,69.257
74.145,71.212
74.145,69.746
73.656,70.723
72.678,69.257
73.167,70.723
72.678,69.257
72.19,69.257
72.19,69.257
71.212,68.28
72.678,69.746
72.19,68.768
71.701,70.235
72.19,68.28
71.701,68.768
71.212,68.28
71.701,69.746
71.701,68.28
70.723,67.791
71.212,69.257
71.701,67.791
71.212,67.791
71.212,67.791
72.678,69.746
72.678,68.28
72.678,68.28
72.678,68.28
73.167,67.791
72.678,68.28
72.678,68.28
72.19,67.791
72.678,69.746
72.19,70.235
71.212,68.28
71.701,67.302
71.701,69.257
71.701,69.257
71.212,67.791
71.212,69.746
71.212,67.302
71.701,68.28
71.701,69.746
71.701,68.28
71.701,67.791
71.701,68.28
71.701,67.791
72.678,70.235
73.167,68.768
73.167,68.28
73.656,70.723
73.167,69.257
73.656,69.257
74.145,70.723
73.656,68.768
73.656,69.257
74.145,68.768
73.167,69.257
74.633,70.723
73.656,68.768
74.145,70.723
72.678,69.257
73.167,70.723
73.167,70.723
73.167,69.257
72.678,68.768
73.167,69.257
73.167,71.212
73.167,70.723
73.656,71.212
73.167,70.235
72.678,71.701
73.167,70.235
72.678,70.235
73.656,72.19
73.167,70.235
73.167,71.212
71.701,70.235
71.701,69.746
72.19,71.701
72.19,70.235
71.701,69.746
72.678,71.701
71.701,70.235
72.19,70.235
71.701,72.19
71.701,69.746
71.701,71.701
72.678,69.257
72.678,70.235
72.19,71.701
72.19,69.257
72.19,69.257
72.19,69.257
71.701,68.768
72.678,68.768
72.19,68.768
72.19,68.28
72.678,68.28
73.167,67.791
73.656,70.235
73.656,68.28
73.656,69.746
74.145,70.235
73.167,68.768
74.145,68.28
74.633,68.28
73.656,68.28
73.656,68.768
73.167,69.746
73.167,68.28
72.678,68.28
72.678,68.768
73.167,67.791
74.145,68.28
73.656,68.28
73.656,69.746
72.678,67.791
73.167,67.791
73.167,70.235
73.167,68.28
72.19,69.746
72.678,68.28
72.19,67.791
71.701,68.28
72.678,69.257
72.678,69.746
72.19,68.28
72.678,70.235
72.19,67.791
72.678,70.235
73.656,70.723
73.656,69.257
73.656,69.257
74.145,68.768
74.633,69.746
74.633,69.746
74.145,69.746
75.122,70.235
75.122,70.235
75.122,70.235
74.633,69.746
75.122,71.701
75.122,69.746
75.122,71.212
74.633,69.257
75.122,70.723
75.122,70.235
75.611,71.212
75.611,71.212
75.611,69.746
76.1,71.701
75.122,69.257
75.611,71.212
75.122,69.746
74.633,71.212
74.145,69.257
75.122,70.723
75.122,69.257
74.633,69.746
75.122,68.768
75.611,71.212
75.122,69.746
75.611,69.257
75.611,70.723
75.122,69.257
75.611,68.768
76.1,70.723
75.122,68.768
75.122,68.768
75.611,70.723
74.633,68.768
75.122,69.257
76.1,69.257
75.611,71.212
75.611,68.768
75.611,69.257
75.122,70.235
75.122,68.28
75.122,68.768
74.633,69.257
74.633,68.768
75.122,70.723
75.122,68.768
75.611,71.212
75.611,69.746
76.1,69.746
75.611,71.212
75.122,69.746
75.122,69.746
75.122,70.235
75.122,70.235
75.122,69.746
75.611,70.235
76.588,71.701
75.611,70.235
76.1,70.723
77.077,70.723
77.566,71.212
77.077,72.678
77.077,70.723
77.077,72.19
76.588,70.723
76.588,70.723
77.077,72.678
77.566,70.723
78.055,71.212
78.543,73.167
78.543,71.212
78.543,71.212
78.055,72.678
78.055,70.723
78.543,71.212
78.543,70.723
78.055,70.723
79.032,72.678
79.032,70.723
79.032,72.678
79.521,70.723
79.032,71.701
79.032,72.678
79.521,70.723
79.521,70.723
79.521,70.723
78.543,70.235
79.521,72.19
79.521,70.723
78.543,70.723
80.01,72.19
79.032,70.723
80.01,72.19
79.521,70.723
80.499,72.19
80.01,70.235
79.521,70.723
79.521,70.723
80.499,70.723
81.476,70.723
80.01,70.723
80.499,70.723
80.987,70.235
80.499,70.723
80.987,72.678
80.987,70.723
81.476,72.19
80.987,70.723
80.499,71.212
79.521,71.701
79.521,72.19
78.543,71.212
79.032,72.678
78.543,72.678
78.543,73.167
78.055,72.19
78.543,71.212
79.032,74.145
79.521,72.678
79.521,73.167
79.032,72.678
79.521,74.145
79.032,71.701
80.01,74.145
79.521,72.678
79.521,74.633
80.01,72.678
79.521,74.145
79.521,72.19
80.01,73.656
79.521,72.19
80.01,74.145
