T1(k+1),T2(k+1)
59.632,59.51
59.604,59.122
59.805,60.841
59.72,61.304
59.472,60.207
59.254,60.628
58.907,60.329
59.062,60.581
59.456,59.973
59.697,60.302
59.324,59.956
59.502,60.456
59.593,60.466
59.541,59.779
59.767,60.189
60.042,59.987
59.775,59.872
59.698,60.952
59.132,60.624
58.613,59.566
58.487,59.149
59.094,60.556
59.095,61.115
59.023,61.729
58.955,60.86
58.542,59.978
58.195,59.73
58.164,60.099
58.392,60.622
59.342,60.522
60.061,61.534
59.772,61.37
58.625,60.848
58.086,60.443
58.497,60.72
59.274,62.493
59.771,62.563
59.308,61.415
58.497,60.968
58.422,61.32
58.923,60.912
60.135,61.378
60.953,61.055
60.874,60.78
60.246,61.78
59.747,61.467
60.024,60.853
60.97,61.58
61.71,62.703
62.133,63.261
62.365,61.952
62.595,61.762
61.968,61.05
61.559,60.488
61.64,60.433
62.437,62.307
63.188,62.709
63.668,61.816
64.28,62.122
64.202,61.602
64.045,61.952
63.977,62.275
63.666,62.341
64.123,62.179
65.115,63.428
65.777,63.667
65.692,63.053
65.848,62.187
66.397,62.512
66.844,64.837
67.31,65.379
67.757,65.729
68.207,64.631
68.63,63.369
68.71,63.288
68.888,65.125
68.707,65.839
68.745,64.895
69.571,65.647
70.007,65.711
70.547,65.964
71.119,66.521
70.942,66.163
71.075,66.493
71.336,65.993
71.467,66.369
71.792,66.351
71.995,66.087
72.316,67.269
72.521,67.142
72.429,66.923
72.485,68.219
73.002,68.525
73.775,67.952
74.479,68.995
73.953,69.291
73.68,69.887
74.146,69.545
74.385,69.907
73.958,69.406
74.082,69.736
74.517,71.467
74.525,71.117
74.185,70.555
73.495,69.543
73.42,70.383
73.162,70.096
72.937,69.606
72.544,70.403
72.365,70.055
72.791,70.97
73.699,70.315
73.501,69.45
73.049,70.115
72.802,69.541
72.491,70.327
72.761,70.034
73.904,70.67
74.815,70.434
74.514,70.484
72.913,69.581
71.947,69.721
71.801,69.413
71.949,69.054
72.182,68.937
71.594,68.36
71.937,68.943
72.336,69.199
72.118,70.106
72.018,69.346
71.667,68.376
71.038,67.616
71.047,68.618
71.535,69.028
71.26,68.389
70.997,68.553
71.312,68.08
71.408,67.543
71.28,67.355
72.171,68.961
73.149,69.565
73.434,69.048
73.003,68.133
72.743,67.253
72.434,67.405
72.351,68.141
72.15,68.377
72.364,69.513
72.382,70.781
71.553,69.766
71.437,67.565
71.562,67.383
71.813,68.714
71.656,69.021
71.319,69.809
71.123,68.559
71.458,67.572
71.908,68.577
72.161,69.129
72.083,68.604
71.805,68.082
71.594,67.589
71.905,68.917
73.035,69.703
73.868,69.214
74.202,69.992
73.634,69.971
73.209,69.395
73.535,69.939
73.803,69.444
73.8,68.966
73.967,68.495
73.414,68.732
73.874,70.32
74.019,70.589
74.163,70.933
73.136,70
72.395,69.92
72.423,70.482
72.968,70.025
73.07,68.878
73.124,68.459
73.129,70.261
73.172,71.872
73.571,72.516
73.534,71.327
72.811,70.493
72.522,69.675
72.381,69.486
73.177,71.29
73.725,71.718
73.664,71.598
72.155,70.459
70.748,69.069
70.798,69.958
71.865,70.716
72.473,70.501
73.004,71.198
72.792,70.933
72.28,70.184
71.578,71.065
71.314,70.616
71.508,71.03
72.596,69.97
73.434,69.443
73.141,70.722
72.355,70.467
71.773,69.341
71.729,68.467
71.727,68.072
72.088,68.295
72.371,68.79
72.401,68.745
72.576,68.364
73.06,67.691
73.741,69.107
74.113,69.48
73.977,69.922
73.959,70.424
73.327,69.527
73.41,67.979
74.24,67.165
74.265,67.475
73.762,68.646
72.958,70.216
72.566,69.814
72.33,68.383
72.338,67.676
72.871,67.287
74.08,67.782
74.522,68.533
74.133,69.94
