T1,T2
324.72,323.44
324.7,323.26
324.67,323.1
324.64,322.94
324.6,322.79
324.57,322.65
324.53,322.51
324.49,322.38
324.44,322.26
324.4,322.14
324.35,322.03
324.31,321.93
324.26,321.82
324.22,321.73
324.17,321.63
324.12,321.55
324.07,321.46
324.03,321.38
323.98,321.3
323.93,321.22
323.89,321.15
323.85,321.5
323.82,321.83
323.81,322.14
323.8,322.43
323.81,322.7
323.82,322.96
323.84,323.2
323.87,323.43
323.9,323.65
323.94,323.85
323.98,324.05
324.03,324.23
324.08,324.41
324.13,324.57
324.18,324.73
324.24,324.88
324.29,325.03
324.35,325.16
324.41,325.29
324.47,325.42
324.53,325.54
324.59,325.65
324.65,325.76
324.71,325.87
324.77,325.97
324.83,326.06
324.89,326.16
324.95,326.25
325.01,326.33
325.06,326.41
324.65,326.07
324.24,325.73
323.85,325.39
323.48,325.07
323.11,324.75
322.76,324.44
322.41,324.14
322.08,323.84
321.76,323.55
321.44,323.27
321.14,322.99
320.84,322.72
320.55,322.46
320.27,322.21
320,321.96
319.74,321.71
319.48,321.48
319.24,321.24
318.99,321.02
318.76,320.8
318.53,320.58
318.31,320.37
318.09,320.17
317.88,319.97
317.68,319.78
317.48,319.59
317.29,319.41
317.1,319.23
316.92,319.05
316.74,318.88
316.57,318.72
316.4,318.55
316.24,318.4
316.08,318.24
315.92,318.09
315.77,317.95
315.62,317.81
315.48,317.67
315.34,317.53
315.21,317.4
315.07,317.28
314.94,317.15
314.82,317.03
314.7,316.91
314.58,316.8
314.46,316.68
314.35,316.58
314.24,316.47
314.14,316.37
314.03,316.26
313.93,316.17
313.83,316.07
313.74,315.98
313.64,315.89
313.55,315.8
313.46,315.71
313.38,315.63
313.29,315.55
313.21,315.47
313.13,315.39
313.53,315.74
313.91,316.08
314.28,316.42
314.65,316.74
315,317.06
315.34,317.38
315.67,317.68
316,317.98
316.31,318.27
316.62,318.55
316.92,318.83
317.2,319.1
317.48,319.36
317.76,319.62
318.02,319.87
318.28,320.11
318.53,320.35
318.78,320.58
319.01,320.8
319.24,321.02
319.47,321.24
319.69,321.45
319.9,321.65
320.1,321.85
320.3,322.04
320.5,322.23
320.69,322.41
320.87,322.59
321.05,322.76
321.23,322.93
320.93,323.09
320.66,323.23
320.4,323.35
320.17,323.46
319.95,323.55
319.74,323.63
319.55,323.7
319.38,323.76
319.21,323.82
319.06,323.86
318.92,323.9
318.78,323.93
318.65,323.95
318.54,323.97
318.43,323.99
318.32,324
318.22,324
318.13,324.01
318.04,324.01
317.96,324.01
317.89,324
317.81,324
317.74,323.99
317.68,323.98
317.62,323.97
317.56,323.95
317.5,323.94
317.45,323.93
317.4,323.91
317.35,323.9
317.77,323.89
318.16,323.89
318.54,323.91
318.89,323.93
319.22,323.97
319.54,324.01
319.84,324.06
320.13,324.12
320.4,324.18
320.65,324.25
320.9,324.32
321.13,324.39
321.35,324.47
321.56,324.54
321.76,324.62
321.95,324.71
322.14,324.79
322.31,324.87
322.48,324.96
322.64,325.04
322.8,325.13
322.94,325.21
323.09,325.3
323.22,325.38
323.35,325.46
323.48,325.54
323.6,325.63
323.72,325.71
323.83,325.78
323.94,325.86
324.04,325.52
324.12,325.2
324.19,324.9
324.24,324.62
324.28,324.36
324.31,324.12
324.33,323.89
324.35,323.68
324.35,323.48
324.35,323.29
324.34,323.11
324.33,322.94
324.32,322.78
324.3,322.63
324.27,322.49
324.24,322.35
324.22,322.22
324.18,322.1
324.15,321.99
324.11,321.88
324.08,321.77
324.04,321.67
324,321.58
323.96,321.49
323.92,321.4
323.88,321.31
323.84,321.24
323.8,321.16
323.76,321.09
323.72,321.02
323.22,321.36
322.76,321.67
322.34,321.95
321.95,322.19
321.59,322.41
321.26,322.61
320.95,322.79
320.66,322.95
320.4,323.08
320.16,323.21
319.93,323.31
319.72,323.41
319.52,323.49
319.34,323.57
319.17,323.63
319.02,323.68
318.87,323.73
318.73,323.77
318.6,323.8
318.48,323.83
