H1,H2,H3,H4
20.63,19.72,8.5079,6.7356
20.661,19.709,8.6057,6.9173
20.74,19.817,8.7879,7.2181
20.822,19.918,8.9178,7.3673
21.002,20.097,9.0852,7.382
20.513,19.859,8.6023,7.0668
20.627,19.861,8.8652,7.1152
20.254,19.533,8.6109,6.9
20.497,19.684,8.7167,6.9547
20.754,19.657,8.8748,7.0663
20.958,19.687,9.0254,6.8817
20.699,19.302,8.5484,6.605
20.593,19.372,8.8246,6.5898
20.36,19.074,8.4003,6.2976
20.448,19.222,8.6974,6.4527
20.622,19.505,8.8818,6.4484
20.792,19.545,8.777,6.4705
20.851,19.648,8.8804,6.547
21.089,19.617,8.9056,6.7216
20.836,19.162,8.4849,6.5606
20.502,18.909,8.3127,6.3051
20.305,18.462,7.9285,6.0941
20.152,18.261,7.8196,6.0228
20.17,18.491,8.0464,6.0983
20.32,18.599,8.4686,6.2775
19.961,18.234,8.051,6.1105
19.776,17.967,7.6591,6.0221
19.537,17.752,7.5952,6.0568
19.214,17.446,7.4362,5.8477
19.338,17.735,7.7563,6.0867
19.469,17.8,7.9659,6.2501
19.778,17.983,8.1763,6.4125
19.963,18.125,8.4398,6.6194
19.733,18.097,8.2514,6.4766
19.83,18.41,8.7264,6.6886
20.129,18.442,8.7141,6.8689
20.633,18.677,8.7131,6.9993
20.41,18.477,8.2117,6.7199
20.416,18.796,8.5071,6.9058
20.187,18.78,8.1699,6.6055
20.209,18.977,8.2936,6.7097
20.402,19.109,8.5004,6.7343
20.415,19.228,8.5479,6.7544
20.238,19.068,8.331,6.4054
20.532,19.249,8.4377,6.538
20.849,19.6,8.5156,6.6502
21.126,19.631,8.7198,6.8611
20.748,19.209,8.4362,6.715
20.496,19.001,7.9672,6.5495
20.698,19.153,8.1387,6.7422
20.7,19.186,8.4803,6.8111
20.434,18.934,8.2664,6.6425
20.227,18.705,8.0619,6.4824
19.811,18.739,7.6625,6.356
19.424,18.599,7.5207,6.2387
19.67,18.571,7.6726,6.3682
19.83,18.794,8.1613,6.6228
19.649,18.576,7.8005,6.4677
19.527,18.304,7.6609,6.2435
19.75,18.656,7.8854,6.5319
19.849,18.938,7.9342,6.7424
19.662,18.77,7.7383,6.5202
19.814,18.728,7.8097,6.7201
19.459,18.504,7.5633,6.4681
19.838,18.699,7.805,6.7635
19.568,18.437,7.7162,6.6068
19.651,18.4,7.8622,6.767
19.9,18.453,8.0467,6.8828
20.25,18.644,8.3012,7.1425
20.048,18.548,8.0773,6.9344
20.297,18.61,8.1377,7.0418
20.023,18.34,7.7979,6.7925
20.146,18.408,8.0339,6.8119
19.951,18.278,7.9644,6.6593
20.098,18.404,8.2177,6.7249
19.851,18.205,7.9401,6.494
19.536,18.064,7.7947,6.4011
19.22,17.67,7.4498,6.3068
18.938,17.444,7.2361,6.0721
18.567,17.191,7.1095,5.8793
18.364,16.948,7.2233,5.7812
18.619,17.217,7.5982,6.0733
18.878,17.518,7.8331,6.2642
18.481,17.393,7.6468,6.1878
18.278,17.319,7.4946,6.0644
18.154,17.165,7.2405,5.9263
18.025,16.995,7.0986,5.7055
17.872,16.848,7.1529,5.5208
17.722,16.579,6.9539,5.6681
17.406,16.314,6.7582,5.6301
17.731,16.551,7.2739,5.8719
18.038,16.972,7.7222,6.1352
18.427,17.172,7.9779,6.3582
18.816,17.528,8.2361,6.4572
19.125,17.636,8.3203,6.8174
19.018,17.494,8.1314,6.6871
19.268,17.863,8.0951,6.7647
19.054,17.714,8.0068,6.4055
19.281,17.999,8.3112,6.7085
19.463,18.297,8.4885,6.8334
19.765,18.621,8.6638,6.894
20.156,18.82,8.8159,7.0619
20.342,18.94,8.9956,6.9492
20.537,19.106,9.1449,7.0194
20.416,18.843,8.8015,6.8275
20.636,19.069,8.9778,6.8214
21.003,19.232,9.0396,6.9505
21.015,19.456,9.118,7.1563
21.102,19.545,9.1602,7.3916
20.777,19.526,8.8735,7.0752
20.746,19.206,8.4909,6.9359
20.499,19.19,8.3109,6.6937
20.17,18.931,7.9912,6.5172
20.319,19.155,8.2088,6.6926
20.445,19.335,8.359,6.8885
20.704,19.382,8.6067,6.9666
20.87,19.598,8.7872,7.1088
21.119,19.802,8.9879,7.2793
20.919,19.61,8.597,7.1152
20.601,19.413,8.4598,6.9809
20.747,19.75,8.6252,7.0676
20.921,19.802,8.7833,7.181
21.003,19.773,9.0045,7.2628
20.723,19.54,8.6887,7
