U1,U2,H1,H2,H3,H4
167.46,172.6,19.234,17.779,7.8862,6.3712
137.46,138.6,19.466,18.001,8.1117,6.5397
167.46,172.6,19.265,17.805,7.8697,6.3581
137.46,138.6,19.492,18.024,8.0973,6.5284
167.46,172.6,19.286,17.824,7.8571,6.3483
137.46,138.6,19.51,18.04,8.0863,6.5198
167.46,172.6,19.301,17.837,7.8475,6.3408
137.46,138.6,19.521,18.051,8.0779,6.5133
137.46,138.6,19.31,17.847,7.8402,6.3352
137.46,138.6,19.093,17.64,7.6327,6.1803
167.46,172.6,18.873,17.435,7.452,6.046
137.46,138.6,19.092,17.651,7.7329,6.2572
137.46,138.6,18.885,17.454,7.5393,6.1127
137.46,138.6,18.676,17.258,7.3707,5.9873
137.46,138.6,18.469,17.066,7.2242,5.8789
137.46,138.6,18.266,16.879,7.0971,5.7851
137.46,138.6,18.069,16.699,6.9869,5.7041
137.46,138.6,17.88,16.527,6.8915,5.6342
137.46,138.6,17.699,16.363,6.8091,5.574
137.46,138.6,17.527,16.207,6.7378,5.5222
137.46,138.6,17.366,16.061,6.6762,5.4776
137.46,138.6,17.214,15.924,6.6231,5.4392
167.46,172.6,17.073,15.796,6.5773,5.4062
167.46,172.6,17.378,16.096,6.9742,5.7042
137.46,138.6,17.7,16.403,7.3177,5.9613
137.46,138.6,17.592,16.294,7.1782,5.8563
167.46,172.6,17.48,16.182,7.0572,5.7656
167.46,172.6,17.8,16.489,7.3897,6.0144
167.46,172.6,18.127,16.796,7.6787,6.2297
167.46,172.6,18.453,17.098,7.9305,6.4167
167.46,172.6,18.774,17.394,8.1504,6.5793
167.46,172.6,19.086,17.68,8.3428,6.7211
167.46,172.6,19.387,17.955,8.5114,6.8448
167.46,172.6,19.677,18.218,8.6594,6.9528
167.46,172.6,19.953,18.469,8.7893,7.0473
167.46,172.6,20.215,18.706,8.9036,7.1301
137.46,138.6,20.463,18.93,9.0042,7.2026
167.46,172.6,20.261,18.724,8.6522,6.9369
137.46,138.6,20.476,18.924,8.7831,7.0334
167.46,172.6,20.248,18.699,8.4579,6.7888
137.46,138.6,20.441,18.883,8.6124,6.9039
167.46,172.6,20.197,18.646,8.3081,6.6756
167.46,172.6,20.378,18.822,8.481,6.8051
167.46,172.6,20.561,18.997,8.6326,6.9181
167.46,172.6,20.742,19.169,8.7658,7.017
167.46,172.6,20.92,19.336,8.8829,7.1035
167.46,172.6,21.094,19.498,8.986,7.1793
167.46,172.6,21.261,19.653,9.0767,7.2458
167.46,172.6,21.422,19.801,9.1567,7.304
167.46,172.6,21.575,19.943,9.2272,7.3552
137.46,138.6,21.721,20.077,9.2894,7.4001
137.46,138.6,21.424,19.786,8.9033,7.1099
137.46,138.6,21.113,19.489,8.5635,6.8557
137.46,138.6,20.794,19.188,8.2652,6.6336
137.46,138.6,20.473,18.889,8.004,6.4399
137.46,138.6,20.154,18.595,7.7756,6.2713
167.46,172.6,19.84,18.308,7.5765,6.1249
167.46,172.6,19.971,18.448,7.8413,6.3256
