H1,H2
20.694,18.669
20.034,18.462
19.629,18.636
19.929,17.737
19.852,17.943
20.125,17.434
19.985,18.083
19.798,17.825
20.152,18.219
19.776,17.643
19.844,18.056
19.921,17.975
19.78,17.947
20.23,18.17
19.783,17.774
20.157,18.236
20.428,18.239
20.355,18.451
20.317,17.809
20.212,17.75
19.617,17.812
19.525,17.231
19.217,17.186
18.705,17.049
18.533,16.972
18.275,16.846
17.83,16.348
17.771,16.822
17.569,16.872
17.478,16.631
17.402,16.951
18.143,17.496
17.774,16.721
17.731,17.094
18.297,17.256
18.911,17.529
19.047,17.752
19.338,18.374
19.572,18.678
19.856,19.082
20.25,19.481
19.996,19.022
19.903,18.887
20.122,19.186
19.843,18.553
20.079,18.667
19.642,18.66
19.347,18.52
19.681,18.41
19.99,18.604
20.011,18.888
20.488,19.137
20.631,18.976
21.373,19.471
21.354,19.883
20.782,19.432
21.153,19.232
20.911,19.423
20.422,18.939
20.199,18.637
19.749,18.312
19.936,18.375
19.697,18.341
20.026,18.503
20.199,18.759
19.735,18.933
20.24,19.507
20.567,19.187
20.666,19.773
20.585,19.084
20.388,18.967
20.297,18.969
20.571,18.756
20.803,19.15
20.543,18.746
20.258,18.802
20.252,18.733
19.724,18.552
19.883,18.481
20.266,19.123
20.396,18.837
20.803,19.108
20.631,19.361
20.64,19.068
20.446,19.107
20.506,19.414
20.474,19.222
20.605,19.18
20.591,19.493
20.393,18.913
20.493,19.363
20.563,18.868
20.461,18.756
20.325,18.996
20.736,19.326
20.504,19.251
21.032,19.914
20.822,19.384
20.685,18.87
20.632,19.272
20.575,18.723
20.031,18.57
20.515,18.723
19.754,18.334
19.789,18.332
19.792,18.183
19.462,18.132
19.332,17.76
19.443,17.816
19.868,18.065
19.939,17.771
19.921,17.755
19.902,18.032
19.717,17.587
19.524,17.74
19.87,17.372
19.626,17.372
19.242,17.177
19.169,17.404
18.944,17.456
18.849,17.517
18.814,17.732
18.767,17.356
19.189,17.952
19.354,18.162
19.164,17.807
19.02,17.746
19.005,17.237
19.384,17.597
18.805,17.708
18.76,17.097
19.097,17.535
18.792,17.172
19.12,17.191
19.249,17.417
18.784,17.004
18.825,17.055
18.683,16.929
18.996,16.854
18.396,16.928
19.144,17.169
18.92,16.982
19.142,16.96
18.634,16.741
19.088,17.008
19.075,16.648
18.937,16.71
19.07,16.514
18.661,16.291
18.526,16.28
18.597,16.325
18.61,16.538
18.435,16.267
18.498,16.335
18.373,15.959
18.506,16.169
18.425,16.248
18.788,16.397
18.622,16.597
18.517,16.384
19.192,16.606
18.35,16.253
18.479,16.145
18.765,16.281
18.697,16.136
18.765,16.605
18.833,16.29
19.04,16.778
19.478,16.922
19.42,16.837
19.398,16.626
19.037,16.566
19.065,16.307
19.172,16.721
18.638,16.375
18.54,16.519
18.691,16.811
18.215,16.581
18.129,16.532
17.885,16.316
17.952,16.088
17.814,15.969
18.262,16.133
18.089,15.935
18.316,16.357
18.598,16.47
18.949,17.206
18.993,17.018
18.837,17.044
18.708,17.479
18.688,17.038
18.465,16.846
18.886,17.195
19.043,17.181
19.561,17.689
19.637,17.837
19.145,17.611
19.377,17.446
19.115,17.223
19.397,17.103
19.412,17.772
19.41,17.75
19.051,17.729
19.269,17.568
18.933,17.208
18.821,17.375
18.548,17.114
18.975,17.628
19.279,17.97
19.322,18.051
19.175,18.004
19.764,18.111
19.78,18.565
19.645,18.404
20.034,18.439
19.929,18.418
19.646,18.11
19.088,17.792
19.148,17.953
19.227,18.029
18.864,17.644
18.877,17.347
18.787,17.746
19.274,17.838
19.184,17.867
19.03,17.566
19.055,17.883
18.936,17.418
18.898,17.449
18.363,17.544
18.655,17.475
18.792,17.753
18.96,17.319
19.052,17.513
19.269,17.722
19.308,17.896
19.264,17.754
19.458,17.673
19.127,18.199
19.526,18.186
19.32,17.914
18.864,17.488
19.051,17.946
19.266,17.603
19.212,17.881
19.119,18.061
18.928,18.04
19.138,17.922
19.212,17.887
19.69,18.149
19.56,17.768
19.329,17.842
19.048,17.494
18.794,17.356
18.269,17.104
18.586,17.286
18.455,16.796
18.745,17.36
18.343,16.946
18.132,16.958
18.146,16.982
17.687,16.531
17.503,16.15
17.508,16.288
17.651,16.225
17.569,16.358
18.116,16.824
18.213,17.015
18.562,17.032
18.358,17.335
18.565,17.209
18.486,17.337
17.82,17.115
18.251,17.068
18.703,17.685
18.636,17.838
19.071,17.876
19.303,18.314
19.753,18.568
19.363,18.556
19.712,18.857
19.844,18.788
19.858,19.059
19.742,18.747
19.934,19.311
20.166,19.566
20.366,19.516
19.856,19.41
20.439,19.373
20.798,19.33
20.805,19.627
20.844,19.719
21.117,20.149
20.736,19.646
20.527,19.331
20.311,19.632
20.992,19.832
20.617,19.22
20.44,19.092
20.821,19.068
20.365,19.35
20.128,18.781
19.953,18.124
20.184,18.417
20.176,18.741
20.484,18.553
20.403,19.012
20.243,18.792
20.397,19.021
20.396,18.601
20.379,18.833
20.013,18.678
20.131,18.616
20.035,18.777
20.014,18.731
20.15,18.365
20.256,18.178
19.986,18.178
20.083,18.395
20.321,18.532
20.739,18.786
19.884,18.759
20.112,18.495
19.648,18.234
19.444,18.232
19.378,17.965
19.146,17.745
18.503,17.417
18.114,16.963
18.155,16.921
17.695,16.775
17.261,16.334
17.18,16.273
17.418,16.339
17.518,16.796
17.292,16.552
17.775,17.104
17.674,17.205
18.463,17.309
18.785,17.404
18.968,17.617
19.295,17.676
19.397,18.155
19.532,18.357
19.965,18.546
20.355,18.488
20.754,18.826
20.376,18.619
20.706,18.626
20.779,18.402
20.736,18.231
20.563,18.302
21.206,18.298
21.096,18.875
21.119,19.277
21.451,19.677
21.524,19.618
21.917,19.961
22.064,20.235
21.805,20.168
21.46,20.18
21.572,19.649
21.003,19.295
20.978,19.068
21.337,19.245
20.652,18.862
21.063,19.03
21.101,18.901
21.093,19.343
21.591,19.331
21.447,19.734
21.842,19.871
22.119,20.179
21.605,19.995
22.507,19.963
22.11,19.762
22.226,20.116
22.021,20.072
21.682,19.532
21.064,19.182
20.581,19.255
20.623,18.937
20.953,19.17
21.376,19.117
21.566,19.35
21.426,19.056
21.132,19.319
21.508,19.114
21.436,19.447
20.838,18.905
20.798,18.732
20.987,19.193
20.767,18.872
20.747,19.049
20.801,19.168
20.482,18.983
20.577,18.847
20.773,19.271
21.226,19.421
21.218,19.674
21.466,19.774
21.935,19.606
21.776,20.075
21.635,19.288
21.714,19.59
21.164,19.281
20.394,19.02
19.85,18.193
20.161,18.837
19.817,18.467
19.547,18.482
19.501,18.457
19.897,18.489
20.135,18.667
20.188,18.748
20.628,19.196
20.432,19.201
20.155,18.782
19.989,18.52
19.53,18.413
20.137,18.368
20.535,18.447
20.199,18.143
19.638,18.225
20.094,18.335
19.248,17.875
19.604,17.865
20.554,18.68
20.54,18.585
20.484,19.001
21.006,19.183
20.634,19.02
21.065,19.114
21.046,19.413
21.08,18.922
21.243,19.296
20.821,19.128
20.818,19.282
20.57,18.855
20.17,18.94
19.852,18.642
20.136,18.824
20.053,18.752
20.135,19.021
20.377,18.895
19.947,18.839
19.452,18.849
19.953,18.641
19.554,18.572
19.001,18.136
18.825,18.041
18.589,18.091
17.87,17.708
18.045,17.874
18.065,17.833
18.321,17.99
18.462,18.282
18.986,18.141
19.274,18.584
19.171,18.044
19.269,18.674
19.244,18.599
18.771,18.016
19.01,18.177
19.229,18.377
19.621,18.626
19.506,19.207
19.245,18.39
19.687,18.771
19.797,18.96
19.528,18.553
19.628,18.865
19.891,18.727
19.7,18.658
19.862,18.584
19.407,18.177
19.787,18.215
19.413,17.926
19.429,17.595
19.782,17.775
20.188,18.448
19.54,18.128
19.281,17.715
19.145,17.552
19.463,18.087
18.998,17.918
19.184,17.97
19.164,17.934
19.043,18.25
19.616,18.466
19.472,18.48
19.03,18.008
18.978,18.087
19.363,18.189
19.463,18.159
19.358,18.535
19.471,18.554
19.663,18.586
19.423,18.415
19.015,18.091
18.747,17.753
18.627,17.808
18.624,17.479
18.614,17.474
18.77,17.378
18.677,17.405
19.094,17.496
18.561,17.063
18.76,17.461
18.561,17.327
18.493,17.287
19.11,17.594
18.775,17.383
18.945,18.047
19.349,18.036
19.32,18.4
19.71,18.452
19.656,18.162
19.378,17.944
19.2,17.781
19.492,18.086
19.338,18.007
19.403,17.834
19.396,18.042
19.49,18.04
18.874,17.929
18.837,17.697
18.432,17.194
18.477,17.784
18.958,17.744
19.225,18.11
18.95,17.707
19.146,17.841
19.269,18.429
18.82,17.986
18.518,17.998
18.733,18.414
19.053,18.272
19.001,18.121
18.869,17.675
18.856,17.896
19.396,18.233
19.244,17.7
19.763,18.273
19.772,18.238
19.641,18.026
19.355,17.739
19.807,17.851
19.763,18.012
19.976,18.275
20.245,17.949
20.114,18.493
19.961,17.993
19.713,17.965
19.585,17.52
19.496,17.722
19.489,17.692
19.044,17.45
19.301,17.56
18.992,17.384
19.303,17.514
19.332,17.553
19.376,17.439
19.104,16.843
18.761,16.862
18.672,16.955
18.306,16.382
18.001,16.116
17.624,16.242
17.217,16.439
17.281,16.157
17.735,16.372
17.567,16.437
17.395,16.124
17.272,15.973
17.022,15.919
17.769,15.924
17.841,16.525
17.903,16.989
18.335,17.181
18.589,17.414
18.948,17.281
19.178,17.743
19.321,18.089
19.341,17.977
19.287,17.74
18.835,17.691
19.211,18.242
19.642,18.308
20.26,18.725
19.922,18.251
20.172,18.219
20.553,18.375
20.734,18.722
21.142,19.132
21.149,19.122
21.352,19.513
21.361,19.721
21.426,19.827
21.114,19.98
21.478,19.969
21.116,19.338
20.836,19.264
21.511,20.093
21.143,19.697
20.432,19.471
20.64,19.301
20.861,19.43
20.82,19.206
21.013,19.705
21.243,19.795
21.578,19.912
21.331,20.206
20.992,19.731
20.701,19.467
20.528,19.129
20.495,18.617
20.87,19.085
20.514,18.832
20.712,18.74
20.275,18.765
20.375,18.731
20.343,19.069
20.665,19.212
21.007,19.015
21.281,19.02
21.232,19.134
