H1,H2,H3,H4
18.583,16.909,7.2145,5.7982
18.391,16.701,7.0971,5.7062
18.243,16.538,7.0088,5.6391
17.977,16.271,6.8895,5.5427
17.696,16.109,6.7757,5.4908
17.824,16.349,7.0991,5.7638
17.953,16.807,7.371,6.0707
18.027,16.708,7.2936,5.9638
17.729,16.407,7.1051,5.8035
17.726,16.528,7.3267,5.9894
18.043,16.796,7.6203,6.1975
18.135,16.708,7.5096,6.0715
18.154,16.586,7.3966,5.9529
18.649,16.901,7.7561,6.1854
18.601,17.041,7.8857,6.3278
18.729,17.418,8.0522,6.5316
19.154,17.78,8.2978,6.7079
19.659,17.88,8.5458,6.7778
20.003,18.06,8.7169,6.8664
19.887,17.865,8.4239,6.6315
19.96,18.048,8.5291,6.7446
19.523,17.975,8.1539,6.5724
19.741,18.019,8.3406,6.6507
19.283,17.756,7.9802,6.4271
19.608,17.975,8.2245,6.584
19.438,17.651,7.98,6.3495
19.912,17.795,8.2826,6.4895
19.694,17.578,8.0228,6.3026
19.864,17.616,8.2205,6.4111
20.147,17.665,8.4311,6.5068
20.347,17.75,8.5886,6.6005
20.339,18.275,8.6559,6.8333
20.299,18.587,8.7005,6.9707
20.206,18.408,8.4294,6.7414
20.098,18.128,8.1944,6.5099
19.894,18.114,7.9608,6.4017
19.546,17.963,7.7083,6.2639
19.384,17.588,7.5521,6.0662
19.23,17.4,7.4198,5.9566
18.906,17.203,7.2444,5.8568
18.709,17.126,7.1324,5.8107
18.412,17.109,6.9975,5.7908
18.277,16.796,6.9326,5.6704
18.46,17.011,7.2696,5.9263
18.677,17.228,7.5659,6.1442
18.942,17.572,7.8364,6.3751
19.21,17.827,8.0717,6.5469
18.943,17.465,7.805,6.3022
19.381,17.85,8.1044,6.5278
19.671,18.162,8.3186,6.7024
19.898,18.466,8.4869,6.8549
20.168,18.654,8.6506,6.9528
20.417,18.771,8.7902,7.0158
20.523,19.072,8.8672,7.1355
20.67,19.252,8.9496,7.2038
20.719,19.48,8.9903,7.2835
21.02,19.682,9.1136,7.3483
20.489,19.381,8.6494,7.0505
20.645,19.472,8.7682,7.1117
20.504,19.563,8.7689,7.1658
20.417,19.558,8.7832,7.1807
20.217,19.509,8.4658,6.9941
19.861,19.018,8.1375,6.6825
19.979,19.161,8.3039,6.8115
20.203,19.276,8.4845,6.9137
20.448,19.486,8.6513,7.0358
20.734,19.372,8.8139,7.0318
20.915,19.63,8.9241,7.1543
20.985,19.822,8.9843,7.242
21.256,20.067,9.1076,7.3396
21.525,20.103,9.2204,7.357
21.02,20.028,8.766,7.1497
20.658,19.639,8.4159,6.8647
20.826,19.688,8.5833,6.9507
20.917,19.728,8.702,7.0205
20.673,19.426,8.4002,6.7777
20.885,19.615,8.5864,6.9208
20.57,19.285,8.2772,6.6813
20.706,19.659,8.453,6.9009
20.963,19.772,8.6473,7.0041
20.892,19.668,8.704,7.018
20.998,19.976,8.811,7.1697
21.354,20.277,8.9922,7.3035
21.561,20.322,9.1051,7.3368
21.802,20.471,9.2191,7.4017
21.624,20.137,8.888,7.1088
21.847,20.469,9.033,7.2699
21.482,19.911,8.6681,6.9204
21.415,20.038,8.7408,7.0335
21.441,19.786,8.5465,6.8164
21.061,19.325,8.241,6.5539
20.762,19.007,8.0013,6.372
20.127,18.621,7.6708,6.1866
20.233,18.684,7.9212,6.3593
20.503,18.905,8.1913,6.5602
20.933,19.091,8.4818,6.7215
21.036,19.212,8.6252,6.8388
21.057,19.27,8.721,6.9188
21.214,19.261,8.8493,6.9643
21.009,18.937,8.5473,6.7081
20.513,18.61,8.1859,6.4836
20.501,18.422,8.0373,6.3354
20.228,18.254,7.821,6.2138
19.825,17.938,7.5847,6.0558
19.843,18.097,7.8072,6.2627
20.087,18.371,8.0729,6.4786
20.268,18.414,8.2802,6.5865
20.089,18.192,8.0472,6.4019
20.177,18.523,8.2267,6.6165
20.521,18.62,8.4686,6.7246
20.662,18.799,8.6132,6.846
21.034,19.143,8.8189,7.0095
21.483,19.228,9.0311,7.0683
21.211,18.94,8.6864,6.8062
21.039,18.836,8.7108,6.8261
21.199,18.94,8.841,6.9114
21.39,18.859,8.9668,6.9215
21.611,19.147,9.0898,7.0557
21.308,18.942,8.7295,6.8218
21.374,18.992,8.8331,6.8927
21.257,19.187,8.858,7.0036
20.981,18.717,8.5319,6.6875
20.607,18.505,8.2143,6.4994
20.759,18.717,8.4074,6.6668
20.742,18.97,8.5139,6.8272
20.926,19.164,8.6739,6.9481
21.136,19.252,8.8237,7.0186
20.721,19.123,8.45,6.8206
20.401,18.668,8.156,6.5382
20.506,18.806,8.3343,6.6785
20.652,19.033,8.5017,6.8307
20.855,19.217,8.667,6.9496
20.405,19.094,8.2969,6.7641
20.357,18.939,8.1124,6.5952
20.268,19.099,8.2277,6.7426
20.084,18.663,8.002,6.4794
20.329,18.817,8.2442,6.6351
20.131,18.55,8.0126,6.44
20.443,18.668,8.2783,6.5861
20.534,18.904,8.4333,6.7525
20.61,19.159,8.5613,6.9048
20.307,19.181,8.251,6.7745
20.602,19.349,8.4771,6.9021
20.302,19.192,8.1812,6.7173
20.784,19.192,8.4847,6.7965
20.894,19.376,8.6251,6.9263
20.647,19.222,8.3339,6.7395
20.606,19.344,8.4405,6.8584
20.464,19.138,8.2064,6.6638
20.093,18.715,7.9252,6.4199
19.94,18.539,7.7553,6.2905
19.242,18.327,7.4149,6.1655
18.966,18.058,7.2578,6.035
19.014,18.26,7.5151,6.2648
18.996,18.298,7.707,6.4038
18.649,18.276,7.4656,6.3157
18.615,18.056,7.362,6.1743
18.53,17.794,7.2575,6.0356
18.294,17.501,7.1153,5.9016
18.454,17.85,7.4125,6.1873
18.339,17.591,7.2824,6.0404
18.128,17.514,7.1372,5.9738
18.137,17.336,7.0866,5.8815
18.267,17.215,7.3724,6.0011
18.699,17.327,7.7185,6.1766
18.955,17.643,7.9606,6.3954
19.206,17.866,8.1702,6.5554
19.059,17.732,7.9274,6.3877
19.274,17.88,8.1339,6.5264
19.089,17.663,7.8866,6.3359
19.304,18.029,8.1008,6.5561
19.374,18.147,8.2367,6.6651
19.775,18.277,8.4678,6.764
19.562,17.944,8.174,6.5064
19.467,17.889,7.962,6.3777
19.664,17.918,8.1709,6.481
19.878,18.147,8.3586,6.6376
19.705,17.677,8.1005,6.3495
19.87,18.014,8.2838,6.5582
20.048,18.193,8.4479,6.6872
20.095,18.405,8.5457,6.812
19.881,18.173,8.2503,6.5854
19.668,17.916,7.9962,6.3806
19.316,17.778,7.7279,6.2443
19.027,17.424,7.5145,6.051
19.376,17.846,7.8373,6.3336
19.479,18.096,8.0308,6.5204
19.196,17.718,7.7743,6.2825
19.435,18.073,8.0198,6.5102
19.161,17.831,7.7665,6.3206
19.18,17.911,7.935,6.4499
19.014,17.823,7.7244,6.3183
18.724,17.507,7.5003,6.1276
18.962,17.914,7.7741,6.3934
19.069,18.037,7.9647,6.5283
19.082,18.037,7.8073,6.4175
19.109,18.118,7.9687,6.5375
19.403,18.096,8.1974,6.6045
19.695,18.322,8.3981,6.7449
19.317,18.095,8.0561,6.5285
19.457,18.266,8.2241,6.6626
19.383,18.403,8.0072,6.5842
19.099,18.193,7.7509,6.4038
18.851,18.067,7.5398,6.277
18.704,17.902,7.3919,6.1544
18.478,17.689,7.2359,6.0311
18.649,17.678,7.5226,6.1737
18.366,17.575,7.3218,6.0778
18.857,17.827,7.7018,6.3005
18.626,17.613,7.4964,6.1486
18.509,17.407,7.3577,6.0186
18.552,17.687,7.58,6.2561
18.518,18.076,7.7393,6.4985
18.168,17.813,7.4741,6.304
18.304,17.603,7.4098,6.1521
18.072,17.458,7.2337,6.0426
18.347,17.684,7.542,6.2586
18.379,17.93,7.7234,6.4513
18.521,18.017,7.9136,6.5645
18.999,18.137,8.1928,6.6727
18.841,18.067,7.9352,6.5162
18.627,17.913,7.6956,6.3554
18.471,17.607,7.5085,6.1646
18.362,17.519,7.3647,6.0731
18.534,17.684,7.625,6.2646
18.151,17.47,7.3675,6.1139
