H1,H2,H3,H4
20.108,18.63,8.3566,6.7185
19.869,18.395,8.0839,6.5139
20.058,18.575,8.2846,6.664
20.251,18.757,8.4604,6.7949
20.444,18.936,8.6146,6.9093
20.2,18.695,8.31,6.6803
20.381,18.867,8.4827,6.8092
20.128,18.62,8.1943,6.593
20.303,18.788,8.3813,6.7329
20.482,18.958,8.5452,6.8551
20.661,19.126,8.689,6.9619
20.404,18.872,8.3753,6.7263
20.571,19.033,8.5399,6.8493
20.741,19.193,8.6844,6.9568
20.91,19.351,8.8113,7.0508
20.641,19.087,8.4827,6.804
20.361,18.818,8.1944,6.5885
20.512,18.967,8.3813,6.729
20.669,19.119,8.5452,6.8517
20.394,18.853,8.2492,6.6301
20.112,18.586,7.9899,6.4368
19.829,18.32,7.7634,6.2687
19.547,18.059,7.5658,6.1226
19.708,18.224,7.832,6.3237
19.884,18.398,8.0644,6.4984
19.633,18.158,7.8284,6.3222
19.38,17.919,7.6224,6.1691
19.565,18.103,7.8814,6.364
19.762,18.294,8.1075,6.5335
19.529,18.068,7.8661,6.3527
19.728,18.261,8.0941,6.5236
19.497,18.037,7.8543,6.3442
19.698,18.232,8.0838,6.5162
19.469,18.01,7.8454,6.3377
19.671,18.206,8.076,6.5106
19.88,18.405,8.2777,6.6611
20.091,18.602,8.4543,6.7924
19.864,18.378,8.1695,6.5783
20.064,18.568,8.3596,6.7202
19.829,18.339,8.0865,6.5153
20.023,18.525,8.2869,6.6653
19.784,18.294,8.0229,6.4675
19.975,18.478,8.2312,6.6236
19.734,18.246,7.9742,6.4312
19.488,18.013,7.7497,6.2637
19.241,17.781,7.5538,6.1183
18.996,17.554,7.3834,5.9923
18.756,17.333,7.2352,5.8831
18.524,17.12,7.1066,5.7888
18.737,17.335,7.4326,6.0344
18.967,17.559,7.716,6.2471
18.771,17.37,7.5245,6.1039
18.573,17.182,7.3579,5.9798
18.375,16.997,7.2131,5.8723
18.181,16.816,7.0874,5.7794
17.992,16.641,6.9786,5.6992
17.81,16.474,6.8843,5.63
17.636,16.315,6.8028,5.5704
17.908,16.583,7.1692,5.8457
18.195,16.858,7.4869,6.0837
18.491,17.137,7.7633,6.2899
18.787,17.413,8.0043,6.469
19.081,17.684,8.215,6.6249
18.933,17.529,7.96,6.4323
19.206,17.784,8.1762,6.5929
19.04,17.616,7.9261,6.4045
19.297,17.859,8.1466,6.5687
19.554,18.098,8.3395,6.7118
19.806,18.331,8.5085,6.8366
20.051,18.557,8.6568,6.9457
20.287,18.774,8.7871,7.0411
20.515,18.981,8.9016,7.1247
20.296,18.761,8.562,6.8686
20.497,18.949,8.7038,6.9737
20.693,19.132,8.8284,7.0656
20.883,19.308,8.938,7.1461
21.066,19.478,9.0345,7.2166
20.807,19.221,8.6789,6.9491
20.533,18.958,8.3664,6.7151
20.25,18.691,8.0925,6.511
19.965,18.424,7.853,6.3331
20.116,18.58,8.0826,6.5066
20.28,18.741,8.2835,6.6577
20.449,18.906,8.4594,6.7894
20.622,19.071,8.6137,6.9044
20.795,19.234,8.7492,7.005
20.531,18.976,8.4282,6.764
